population	name	chr	start	end	recomb_Bherer2017_sexavg	recomb_Bherer2017_females	recomb_Bherer2017_males	missing	S	Pi	DAF	Divsites	D	K	Unknown	Psel_fold0	Pneu_fold0	Dsel_fold0	Dneu_fold0	alpha_fold0	test_fold0	m_sel_fold0	m_neu_fold0	Pi_sel_fold0	Pi_neu_fold0	K_sel_fold0	K_neu_fold0	alpha_pi_fold0	test_pi_fold0	Psel_neutral_fold0	alpha_cor_fold0	test_cor_fold0	DoS_fold0	f_fold0	b_fold0	y_fold0	d_fold0	Psel_intron	Pneu_intron	Dsel_intron	Dneu_intron	alpha_intron	test_intron	m_sel_intron	m_neu_intron	Pi_sel_intron	Pi_neu_intron	K_sel_intron	K_neu_intron	alpha_pi_intron	test_pi_intron	Psel_neutral_intron	alpha_cor_intron	test_cor_intron	DoS_intron	f_intron	b_intron	y_intron	d_intron	Psel_UTR5	Pneu_UTR5	Dsel_UTR5	Dneu_UTR5	alpha_UTR5	test_UTR5	m_sel_UTR5	m_neu_UTR5	Pi_sel_UTR5	Pi_neu_UTR5	K_sel_UTR5	K_neu_UTR5	alpha_pi_UTR5	test_pi_UTR5	Psel_neutral_UTR5	alpha_cor_UTR5	test_cor_UTR5	DoS_UTR5	f_UTR5	b_UTR5	y_UTR5	d_UTR5	Psel_UTR3	Pneu_UTR3	Dsel_UTR3	Dneu_UTR3	alpha_UTR3	test_UTR3	m_sel_UTR3	m_neu_UTR3	Pi_sel_UTR3	Pi_neu_UTR3	K_sel_UTR3	K_neu_UTR3	alpha_pi_UTR3	test_pi_UTR3	Psel_neutral_UTR3	alpha_cor_UTR3	test_cor_UTR3	DoS_UTR3	f_UTR3	b_UTR3	y_UTR3	d_UTR3	Psel_inter	Pneu_inter	Dsel_inter	Dneu_inter	alpha_inter	test_inter	m_sel_inter	m_neu_inter	Pi_sel_inter	Pi_neu_inter	K_sel_inter	K_neu_inter	alpha_pi_inter	test_pi_inter	Psel_neutral_inter	alpha_cor_inter	test_cor_inter	DoS_inter	f_inter	b_inter	y_inter	d_inter																			
ACB	338588	chr10	4697848	4705106	1.0762567864	0.613109892	1.5394036809	0	64	0.0010189	33	13	3	0	0	1	0	2	3	0	0	0	0	0	0	0	2	0	6	13	142	0.0195673	0.0198271	0	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	49	0	111	0	NaN	1	5895	0	0.0010698	NaN	0.0188295165	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	83592	chr10	4867869	4890751	0.16318362	0.221547376	0.1048198641	0.3933050736	328	0.0011453	202	17	25	2	3	1	1	4	0	2	1	0	4	4	6	0	4	0	1	66	196	0.0085657	0.008615	0	7	2	3	3	-2.5	0.3286713287	634	129	0.0023493	0.0022861	0.0047318612	0.023255814	-4.0505980023	1	8	-3	0.3286713287	-0.2777777778	0.8138801262	-0.1017350158	0.5086750789	0.2878548896	217	2	171	3	-0.9035087719	0.658739431	19739	129	0.00114	0.0022861	0.0086630528	0.023255814	-0.3386597601	1	274	-1.4035087719	0.658739431	-0.0081089592	0.8953341101	-0.1862556361	0.336567202	0.2909215259	0	2	1	3	1	1	85	129	0	0.0022861	0.0117647059	0.023255814	1	1	0	1	1	0.25	0	0	-0.5058823529	1	10	2	8	3	-0.875	0.6404053612	909	129	0.0007458	0.0022861	0.0088008801	0.023255814	0.1379497224	1	12	-1.25	0.6404053612	-0.1060606061	0.8514851485	-0.1419141914	0.3311331133	0.2904290429	10	2	8	3	-0.875	0.6404053612	1000	129	0.0011356	0.0022861	0.008	0.023255814	-0.4440150434	1	14	-1.625	0.6404053612	-0.1060606061	0.903	-0.258	0.301	0.355
ACB	389932	chr10	4913359	4958965	1.0600607762	0.2887947828	1.8313267696	3.4972701559	353	0.0013067	211	16	19	14	18	0	1	9	3	18	17	4	3	7	7	5	2	0	1	16	850	0.0186473	0.018883	15	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	296	0	826	0	NaN	1	41706	0	0.0013064	NaN	0.0198053038	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	2	0	2	0	NaN	1	369	0	0.0011594	NaN	0.0054200542	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	4	0	0	0	NaN	1	500	0	0.0038093	NaN	0	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	1645	chr10	4934296	5020658	0.9800290477	0.3295962287	1.6304618668	7.2577376886	826	0.0012858	522	84	32	21	18	9	8	7	13	8	11	24	9	20	12	3	1	5	12	65	1553	0.0179889	0.0182081	14	2	0	3	2	-Inf	1	484	107	0.0003446	0	0.0061983471	0.0186915888	-Inf	1	NaN	NaN	1	-0.4	NaN	NaN	Inf	NaN	707	0	1508	2	-Inf	1	77646	107	0.0013938	0	0.019421477	0.0186915888	-Inf	1	NaN	NaN	1	-0.0013245033	NaN	NaN	Inf	NaN	5	0	7	2	-Inf	0.5054945055	735	107	0.0005824	0	0.0095238095	0.0186915888	-Inf	1	NaN	NaN	0.5054945055	-0.2222222222	NaN	NaN	Inf	NaN	8	0	22	2	-Inf	1	804	107	0.0018629	0	0.0273631841	0.0186915888	-Inf	1	NaN	NaN	1	-0.0833333333	NaN	NaN	Inf	NaN	0	0	0	2	NaN	1	0	107	NaN	0	NaN	0.0186915888	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	8644	chr10	5004954	5150378	2.2656079746	1.3619337011	3.1692822481	8.3713254255	1748	0.0018132	911	197	106	81	31	18	46	44	34	25	24	18	15	22	14	13	42	22	32	199	2421	0.016656	0.0168437	72	11	2	7	8	-5.2857142857	0.0545712106	1534	335	0.0010859	0.0016119	0.0045632334	0.023880597	-2.5255285615	1	7.5	-3.2857142857	0.0545712106	-0.3794871795	0.8189374185	0.3821707953	1.0100228162	-0.2011082138	1410	2	2301	8	-1.4511082138	0.3360006184	126014	335	0.0019483	0.0016119	0.0182598759	0.023880597	-0.5807569281	1	1294	-1.2494567579	0.3360006184	-0.0020482727	1.7200073008	0.1541892171	1.1095642151	-0.8741965178	10	2	9	8	-3.4444444444	0.1260765222	681	335	0.0021837	0.0016119	0.013215859	0.023880597	-1.4479619398	1	6	-1.6666666667	0.1260765222	-0.3039215686	1.4757709251	0.9838472834	1.9062041116	-1.4596182085	41	2	79	8	-1.0759493671	0.4953754821	3647	335	0.0030516	0.0016119	0.0216616397	0.023880597	-1.0871005038	1	41.5	-1.1012658228	0.4953754821	-0.0454423951	1.9060186455	-0.0229640801	0.9759734028	-0.8830545654	11	2	9	8	-3.8888888889	0.1193546084	500	335	0.0031056	0.0016119	0.018	0.023880597	-1.5561132855	1	6.5	-1.8888888889	0.1193546084	-0.3167420814	2.1775	1.5075	2.93125	-2.685
ACB	1646	chr10	5029468	5060725	1.9065360995	0.139638284	3.6734339151	17.7586537846	396	0.0018741	172	48	34	27	7	4	7	5	1	3	3	1	2	6	7	2	16	8	15	56	381	0.0121928	0.012293	1	3	0	2	1	-Inf	1	363	78	0.003445	0	0.0055096419	0.0128205128	-Inf	1	NaN	NaN	1	-0.3333333333	NaN	NaN	Inf	NaN	270	0	323	1	-Inf	1	22749	78	0.0021859	0	0.0141984263	0.0128205128	-Inf	1	NaN	NaN	1	-0.0030864198	NaN	NaN	Inf	NaN	4	0	4	1	-Inf	1	307	78	0.0005406	0	0.013029316	0.0128205128	-Inf	1	NaN	NaN	1	-0.2	NaN	NaN	Inf	NaN	25	0	49	1	-Inf	1	2082	78	0.0034838	0	0.0235350624	0.0128205128	-Inf	1	NaN	NaN	1	-0.02	NaN	NaN	Inf	NaN	0	0	0	1	NaN	1	0	78	NaN	0	NaN	0.0128205128	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
ACB	340811	chr10	5196155	5227650	0.0611328274	0.095298044	0.0269676107	7.4707899416	401	0.0018918	240	53	12	11	17	8	1	0	1	22	18	4	2	3	5	4	1	3	4	37	601	0.0190891	0.0193362	1	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	316	0	555	0	NaN	1	26038	0	0.0020516	NaN	0.0213150012	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	10	0	12	0	NaN	1	1000	0	0.0020574	NaN	0.012	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN
ACB	1109	chr10	5238298	5261410	0.406161496	0.1256412135	0.6866817785	0	256	0.001114	157	15	16	7	6	1	0	0	0	6	4	1	0	1	0	0	4	1	13	34	272	0.0117698	0.0118631	1	7	0	6	2	-Inf	0.4666666667	625	138	0.0008163	0	0.0096	0.0144927536	-Inf	1	NaN	NaN	0.4666666667	-0.25	NaN	NaN	Inf	NaN	194	0	244	2	-Inf	0.5058604266	20921	138	0.0011334	0	0.0116629224	0.0144927536	-Inf	1	NaN	NaN	0.5058604266	-0.0081300813	NaN	NaN	Inf	NaN	0	0	1	2	NaN	1	33	138	0	0	0.0303030303	0.0144927536	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	4	0	1	2	-Inf	0.1428571429	187	138	0.0007423	0	0.0053475936	0.0144927536	-Inf	1	NaN	NaN	0.1428571429	-0.6666666667	NaN	NaN	Inf	NaN	9	0	13	2	-Inf	0.5108695652	1000	138	0.0013839	0	0.013	0.0144927536	-Inf	1	NaN	NaN	0.5108695652	-0.1333333333	NaN	NaN	Inf	NaN
ACB	114131	chr10	5406476	5416669	1.2668180677	1.0306387765	1.5029973589	2.0600353149	139	0.0020686	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	115	0.0113738	0.0114609	82	1	1	1	1	0	1	256	70	0.0006933	0.0003089	0.00390625	0.0142857143	-7.2081487305	1	1	0	1	0	0.2734375	0	0	0.7265625	114	1	102	1	-0.1176470588	1	8484	70	0.002232	0.0003089	0.0120226308	0.0142857143	-7.5857597166	1	159	-0.5588235294	1	-0.0010130857	1.3118811881	-0.3712871287	0.099009901	0.0594059406	1	1	0	1	-Inf	1	224	70	0.0003813	0.0003089	0	0.0142857143	-Inf	1	1	-Inf	1	-0.5	0.3125	0	0.3125	0.6875	0	1	0	1	NaN	1	0	70	NaN	0.0003089	NaN	0.0142857143	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN	10	1	11	1	0.0909090909	1	869	70	0.0021454	0.0003089	0.0126582278	0.0142857143	-6.8382555612	1	14	-0.2727272727	1	0.0075757576	1.1277330265	-0.3222094361	-0.080552359	0.1944764097
ACB	79861	chr10	5434561	5447293	0.1800166841	0.3030569826	0.0569763856	0	112	0.0013187	69	8	7	0	4	1	0	3	4	0	0	0	0	5	0	12	2	0	0	10	165	0.0129615	0.0130748	0	3	5	3	5	0	1	864	214	0.000136	0.007217	0.0034722222	0.023364486	0.8731965932	1	1.8	0.4	1	0	0.0891666667	0.0594444444	0	0.8513888889	70	5	141	5	0.5035460993	0.3129827607	9935	214	0.0010283	0.007217	0.0141922496	0.023364486	0.7654323482	1	66	0.5319148936	0.3129827607	0.0324200913	0.2843281329	0.0172320081	-0.3058681429	0.6984398591	0	5	1	5	1	1	38	214	0	0.007217	0.0263157895	0.023364486	1	1	0	1	1	0.1666666667	0	0	-1.1263157895	1	3	5	5	5	0.4	0.6640614288	419	214	0.0019069	0.007217	0.0119331742	0.023364486	0.4826654744	1	2.8	0.44	0.6640614288	0.125	0.2860143198	0.0204295943	-0.2042959427	0.6935560859	14	5	8	5	-0.75	0.6992914833	1000	214	0.0030138	0.007217	0.008	0.023364486	-0.2196183984	1	16.4	-1.05	0.6992914833	-0.1214574899	0.70192	-0.10272	0.2568	0.4008
ACB	10276	chr10	5454014	5501519	0.1060035864	0.1710288365	0.0409783362	2.1639371869	258	0.0007722	156	22	7	3	17	1	15	1	13	3	0	3	0	0	0	0	0	1	24	33	470	0.0098962	0.0099621	9	3	0	3	4	-Inf	0.2	1093	172	0.0004408	0	0.0027447392	0.023255814	-Inf	1	NaN	NaN	0.2	-0.5714285714	NaN	NaN	Inf	NaN	213	0	422	4	-Inf	0.3070148243	41328	172	0.0008446	0	0.010210995	0.023255814	-Inf	1	NaN	NaN	0.3070148243	-0.0093896714	NaN	NaN	Inf	NaN	3	0	5	4	-Inf	0.4909090909	525	172	0.0002615	0	0.0095238095	0.023255814	-Inf	1	NaN	NaN	0.4909090909	-0.4444444444	NaN	NaN	Inf	NaN	8	0	16	4	-Inf	0.2947496947	2062	172	0.0003128	0	0.0077594568	0.023255814	-Inf	1	NaN	NaN	0.2947496947	-0.2	NaN	NaN	Inf	NaN	1	0	16	4	-Inf	1	1000	172	0.0000736	0	0.016	0.023255814	-Inf	1	NaN	NaN	1	-0.2	NaN	NaN	Inf	NaN
ACB	51806	chr10	5540158	5542033	3.09605377	6.0909209867	0.1011865533	0	12	0.0009398	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	39	0.0208333	0.0211281	4	2	0	6	1	-Inf	1	282	70	0.001971	0	0.0212765957	0.0142857143	-Inf	1	NaN	NaN	1	-0.1428571429	NaN	NaN	Inf	NaN	0	0	0	1	NaN	1	0	70	NaN	0	NaN	0.0142857143	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	1	0	3	1	-Inf	1	132	70	0.0038068	0	0.0227272727	0.0142857143	-Inf	1	NaN	NaN	1	-0.25	NaN	NaN	Inf	NaN	1	0	3	1	-Inf	1	303	70	0.0000359	0	0.0099009901	0.0142857143	-Inf	1	NaN	NaN	1	-0.25	NaN	NaN	Inf	NaN	5	0	25	1	-Inf	1	1000	70	0.0006939	0	0.025	0.0142857143	-Inf	1	NaN	NaN	1	-0.0384615385	NaN	NaN	Inf	NaN
ACB	810	chr10	5566424	5568725	2.7402574259	4.781906166	0.6986086858	0	21	0.0012638	14	2	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	0	0	1	30	0.0130378	0.0131525	0	1	0	0	0	NaN	1	292	67	0.0002864	0	0	0	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	67	NaN	0	NaN	0	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	2	0	NaN	1	125	67	0	0	0.016	0	NaN	1	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	8	0	11	0	NaN	1	727	67	0.0033294	0	0.015130674	0	NaN	1	NaN	NaN	1	0	NaN	NaN	NaN	NaN	10	0	17	0	NaN	1	1000	67	0.0004038	0	0.017	0	NaN	1	NaN	NaN	1	0	NaN	NaN	NaN	NaN
ACB	79754	chr10	5680320	5709058	3.4996414563	3.7925123618	3.2067705508	1.5171021956	294	0.0014322	173	23	20	16	13	5	6	4	4	4	1	1	3	3	0	5	6	5	4	31	447	0.0155646	0.0157284	16	2	2	1	5	-4	0.5	505	138	0.000987	0.0001575	0.001980198	0.0362318841	-113.6618357488	1	1	-1.5	0.5	-0.3333333333	0.1366336634	0.1366336634	0.2186138614	0.7267326733	225	2	398	5	-0.4133165829	1	24637	138	0.0011937	0.0001575	0.0161545643	0.0362318841	-15.9984884741	1	195.5	-0.2280150754	1	-0.0035963752	0.5475301376	0.0826196371	0.1842838008	0.3698502253	0	2	0	5	NaN	1	0	138	NaN	0.0001575	NaN	0.0362318841	NaN	NA	0	NaN	1	0	NaN	NaN	NaN	NaN	24	2	24	5	-1.5	0.4264958127	1846	138	0.0048399	0.0001575	0.0130010834	0.0362318841	-84.6381354957	1	24	-1.5	0.4264958127	-0.0954907162	0.8970747562	0	0.5382448537	0.1029252438	8	2	16	5	-0.25	1	941	138	0.0023459	0.0001575	0.0170031881	0.0362318841	-30.7387264205	1	9	-0.40625	1	-0.0380952381	0.659936238	-0.0733262487	0.1173219979	0.4133900106
ACB	54906	chr10	5726301	5806203	0.4426665945	0.6173833698	0.2679498192	0.6157465927	540	0.0006929	380	66	28	7	8	8	8	7	6	0	3	1	2	1	7	1	3	8	9	50	1104	0.0138185	0.0139474	4	20	4	43	15	-0.7441860465	0.565790154	4646	1030	0.000456	0.000184	0.0092552734	0.0145631068	-2.8995258523	1	14	-0.2209302326	0.565790154	-0.091954023	0.7759362893	0.332544124	0.472951643	-0.1084804133	448	4	996	15	-0.686746988	0.457659399	69211	1030	0.0007068	0.000184	0.014390776	0.0145631068	-2.8873042932	1	359	-0.3516566265	0.457659399	-0.0059872377	1.3356619612	0.3311251102	0.6786204505	-0.6667870714	6	4	10	15	-1.25	0.4543432096	727	1030	0.0005397	0.000184	0.0137551582	0.0145631068	-2.1054392676	1	4	-0.5	0.4543432096	-0.2	1.416781293	0.7083906465	1.1806510775	-1.1251719395	0	4	8	15	1	0.2854700855	708	1030	0	0.000184	0.011299435	0.0145631068	1	1	0	1	0.2854700855	0.347826087	0	0	-0.7758945386	1	17	4	14	15	-3.5535714286	0.0373837856	1000	1030	0.0032541	0.000184	0.014	0.0145631068	-17.396663752	1	15.5	-3.1517857143	0.0373837856	-0.3267651888	3.99125	0.38625	3.4161666667	-3.3775
ACB	2665	chr10	5806686	5856012	0.1252087767	0.1189950004	0.131422553	0.3892391591	361	0.0006709	278	48	10	3	3	0	10	4	1	0	0	0	0	3	2	11	1	1	2	11	493	0.0099955	0.0100627	3	3	2	1	4	-5	0.5238095238	900	175	0.0000721	0.0007912	0.0011111111	0.0228571429	-0.8746208291	1	1.5	-2	0.5238095238	-0.4	0.1458333333	0.1458333333	0.2430555556	0.7083333333	313	2	462	4	-0.354978355	1	45642	175	0.0006515	0.0007912	0.0101222558	0.0228571429	-0.8593997798	1	233.5	-0.0108225108	1	-0.0022344846	0.4476414268	0.1524089654	0.1572017002	0.3999496078	4	2	3	4	-1.6666666667	0.5920745921	331	175	0.0011962	0.0007912	0.0090634441	0.0228571429	-2.8128191054	1	3	-1	0.5920745921	-0.2380952381	0.7930513595	0.2643504532	0.6608761329	-0.0574018127	9	2	8	4	-1.25	0.6404053612	783	175	0.0014022	0.0007912	0.0102171137	0.0228571429	-2.9647645529	1	4.5	-0.125	0.6404053612	-0.1515151515	0.5028735632	0.5028735632	0.5587484036	-0.0057471264	9	2	12	4	-0.5	1	1000	175	0.0016614	0.0007912	0.012	0.0228571429	-2.9997111079	1	7.5	-0.25	1	-0.0681818182	0.65625	0.13125	0.2625	0.2125
ACB	54522	chr10	5903189	5932360	0.5281430715	0.1857697845	0.8705163584	4.185520362	366	0.0018043	189	44	15	17	10	2	7	14	3	3	1	4	6	4	7	0	0	8	30	9	273	0.0093782	0.0094373	57	9	1	0	2	-Inf	0.0454545455	688	143	0.0012474	0.0032128	0	0.013986014	-Inf	1	1	-Inf	0.0454545455	-0.9	0.2078488372	1.6627906977	1.8706395349	-0.8706395349	275	1	237	2	-1.3206751055	0.5992502885	23514	143	0.0018298	0.0032128	0.0100791018	0.013986014	0.2096998613	1	117	0.0126582278	0.5992502885	-0.0047450124	0.7115335545	0.9608743727	0.9517521477	-0.6724079272	2	1	7	2	0.4285714286	1	356	143	0.0014767	0.0032128	0.0196629213	0.013986014	0.6730702067	1	0	1	1	0.1111111111	0	0.8033707865	-0.6025280899	0.1966292135	12	1	9	2	-1.6666666667	0.5760869565	993	143	0.0019714	0.0032128	0.0090634441	0.013986014	0.0531269444	1	6	-0.3333333333	0.5760869565	-0.1048951049	0.8640483384	0.8640483384	1.080060423	-0.7280966767	7	1	7	2	-1	1	500	143	0.0058438	0.0032128	0.014	0.013986014	-0.8170947578	1	3	0.1428571429	1	-0.0972222222	0.858	1.144	1.001	-1.002
ACB	84893	chr10	5931035	5980058	0.6266637072	0.3432474699	0.9100799446	1.7828002611	430	0.0009597	292	38	16	23	9	6	11	1	0	1	1	1	1	6	0	2	12	2	13	19	577	0.0117772	0.0118706	24	6	7	9	10	0.0476190476	1	2243	499	0.0001824	0.0021482	0.0040124833	0.0200400802	0.5759311815	1	6	0.0476190476	1	0.012145749	0.1906884912	0	-0.0095344246	0.8093115088	372	7	544	10	0.0231092437	1	43264	499	0.0010077	0.0021482	0.0125739645	0.0200400802	0.2523750766	1	492	-0.2920168067	1	0.0004191155	0.8106640955	-0.1977229501	-0.014499683	0.3870588546	3	7	8	10	0.4642857143	0.6887871854	643	499	0.0008073	0.0021482	0.0124416796	0.0200400802	0.394686053	1	4	0.2857142857	0.6887871854	0.1444444444	0.4434570096	-0.1108642524	-0.2882470562	0.6674072428	1	7	0	10	-Inf	0.4444444444	315	499	0.0000345	0.0021482	0	0.0200400802	-Inf	1	2	-Inf	0.4444444444	-0.125	0.4526077098	-0.2263038549	0.2263038549	0.7736961451	7	7	0	10	-Inf	0.0187573677	500	499	0.0017833	0.0021482	0	0.0200400802	-Inf	1	7	-Inf	0.0187573677	-0.5	0.998	0	0.998	0.002
ACB	3601	chr10	5993834	6020650	1.7815021188	1.9251342509	1.6378699867	1.9763582802	238	0.0012451	134	22	11	21	4	4	5	5	3	1	2	2	2	2	3	6	2	3	3	14	350	0.0130543	0.0131692	3	5	2	8	1	0.6875	0.55	593	133	0.0016623	0.0009316	0.0134907251	0.007518797	0.0055270139	1	3.5	0.78125	0.55	0.1746031746	0.3924957841	0.1682124789	-1.2335581788	0.4392917369	203	2	314	1	0.6767515924	0.5648741783	23294	133	0.0012778	0.0009316	0.0134798661	0.007518797	0.2349387847	1	186.5	0.7030254777	0.5648741783	0.0065814944	0.5324225122	0.0471044046	-1.2132952692	0.4204730832	4	2	3	1	0.3333333333	1	400	133	0.0001624	0.0009316	0.0075	0.007518797	0.8252393543	1	3	0.5	1	0.0833333333	0.49875	0.16625	-0.3325	0.335	7	2	13	1	0.7307692308	0.5375494071	724	133	0.0029558	0.0009316	0.0179558011	0.007518797	-0.3285843668	1	5.5	0.7884615385	0.5375494071	0.1507936508	0.505179558	0.1377762431	-1.7451657459	0.3570441989	3	2	11	1	0.8636363636	0.1911764706	1000	133	0.0003069	0.0009316	0.011	0.007518797	0.7748234907	1	1.5	0.9318181818	0.1911764706	0.3166666667	0.09975	0.09975	-1.2635	0.8005
ACB	3559	chr10	6052157	6104833	0.7469109924	0.874570148	0.6192518368	2.5855686543	437	0.0009423	278	71	23	12	18	7	2	6	3	3	1	3	3	1	3	1	5	1	4	30	641	0.0121713	0.0122711	8	1	1	5	1	0.8	0.4642857143	542	111	0.0006855	0.0000979	0.0092250923	0.009009009	-5.8380310852	1	1	0.8	0.4642857143	0.3333333333	0.204797048	0	-0.8191881919	0.795202952	383	1	590	1	0.3508474576	1	47099	111	0.0009454	0.0000979	0.0125268052	0.009009009	-5.9449576548	1	524	0.1118644068	1	0.0009121193	1.2349306779	-0.3323000488	-0.4878447525	0.0973693709	1	1	6	1	0.8333333333	0.4166666667	236	111	0.0000916	0.0000979	0.0254237288	0.009009009	0.668448837	1	2	0.6666666667	0.4166666667	0.3571428571	0.9406779661	-0.4703389831	-2.3516949153	0.5296610169	17	1	20	1	0.15	1	2178	111	0.0014873	0.0000979	0.0091827365	0.009009009	-13.9046158518	1	22	-0.1	1	0.0079365079	1.1212121212	-0.2548209366	-0.152892562	0.1336088154	7	1	17	1	0.5882352941	0.5292307692	1000	111	0.001358	0.0000979	0.017	0.009009009	-6.3509789306	1	9	0.4705882353	0.5292307692	0.0694444444	0.999	-0.222	-1.11	0.223
ACB	84991	chr10	6130449	6159922	0.2641334423	0.4912781031	0.0369887816	2.1340842777	243	0.0007692	181	22	14	2	4	2	1	1	1	8	0	0	2	2	0	0	0	0	3	11	252	0.0085505	0.0085996	2	0	2	0	0	NaN	1	760	177	0	0.0001836	0	0	NaN	1	0	NaN	1	NaN	0	0	NaN	1	194	2	208	0	1	0.2347492814	23142	177	0.0008249	0.0001836	0.0089879872	0	1	1	145	1	0.2347492814	0.0102040816	0.5545112782	0.1873865699	-Inf	0.2581021519	6	2	12	0	1	0.1473684211	566	177	0.0019859	0.0001836	0.0212014134	0	1	1	5	1	0.1473684211	0.25	0.7818021201	0.156360424	-Inf	0.0618374558	10	2	17	0	1	0.1625615764	1903	177	0.0005727	0.0001836	0.0089332633	0	1	1	6	1	0.1625615764	0.1666666667	0.2790331056	0.1860220704	-Inf	0.534944824	11	2	5	0	1	1	952	177	0.0009521	0.0001836	0.0052521008	0	1	1	7.5	1	1	0.1538461538	0.6972163866	0.3253676471	-Inf	-0.0225840336
ACB	5209	chr10	6186343	6278007	11.4120016482	13.607304138	9.2166991584	3.6709758359	1139	0.0015459	732	78	45	32	30	22	20	18	14	9	13	10	17	10	15	10	8	21	22	101	1258	0.0137324	0.0138597	57	1	5	3	4	0.7333333333	0.5594405594	1087	253	0.0001733	0.0053436	0.0027598896	0.0158102767	0.8142142581	1	0.8	0.7866666667	0.5594405594	0.2619047619	0.0372401104	0.0093100276	-0.1280128795	0.953449862	896	5	1201	4	0.40316403	0.5094645449	82266	253	0.0015558	0.0053436	0.0145989838	0.0158102767	0.6846907802	1	995.8	0.3366860949	0.5094645449	0.0022298875	0.6124945907	-0.0613847762	-0.3722759099	0.4488901855	7	5	6	4	0.0666666667	1	473	253	0.0053311	0.0053436	0.0126849894	0.0158102767	-0.2434612284	1	6.6	0.12	1	0.0166666667	0.7060465116	0.0427906977	-0.0534883721	0.2511627907	26	5	31	4	0.3290322581	0.7240365914	2613	253	0.0025628	0.0053436	0.0118637581	0.0158102767	0.3608571128	1	28.8	0.2567741935	0.7240365914	0.0470046083	0.5577037887	-0.0542212017	-0.2469001148	0.4965174129	10	5	6	4	-0.3333333333	1	886	253	0.0030108	0.0053436	0.006772009	0.0158102767	-0.3154365593	1	14	-0.8666666667	1	-0.0666666667	0.7995485327	-0.2284424379	0.1427765237	0.4288939052
ACB	100422989	chr10	6193659	6194740	1.314089228	1.5227698594	1.1054085967	0	12	0.0015079	6	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18	0.0167286	0.016918	6	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	12	0	18	0	NaN	1	1000	0	0.0016315	NaN	0.018	NaN	NaN	NA	NaN	NaN	1	0	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN	0	0	0	0	NaN	1	0	0	NaN	NaN	NaN	NaN	NaN	NA	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
